row_no,course_code,course_name,students_no,academic_semester,faculty
1,AI314,Agent Based Systems,8,2025-2026 Spring,Faculty of Artificial Intelligence
2,BIOE43,Applied Genomic Technologies,110,2025-2026 Spring,Faculty of Artificial Intelligence
3,AI224,Artificial Intelligence Programming Languages,506,2025-2026 Spring,Faculty of Artificial Intelligence
4,AI324,Automated Reasoning,368,2025-2026 Spring,Faculty of Artificial Intelligence
5,BIO421,Automation Solution in BAIechnology,99,2025-2026 Spring,Faculty of Artificial Intelligence
6,BIO321,Basic and Population Genatics,104,2025-2026 Spring,Faculty of Artificial Intelligence
7,BAS00M,Basics of Mathematics,0,2025-2026 Spring,Faculty of Artificial Intelligence
8,BIO322,Biochemstry,87,2025-2026 Spring,Faculty of Artificial Intelligence
9,BIO324,Bioinformatics Programming,112,2025-2026 Spring,Faculty of Artificial Intelligence
10,BIO412,Biological Sequence Analysis,2,2025-2026 Spring,Faculty of Artificial Intelligence
11,BIO414,Bio-mathematics,2,2025-2026 Spring,Faculty of Artificial Intelligence
12,BIO423,Biometrics,111,2025-2026 Spring,Faculty of Artificial Intelligence
13,CSC322,Cloud Architecture and Computing,440,2025-2026 Spring,Faculty of Artificial Intelligence
14,BIO325,Computational Biology,108,2025-2026 Spring,Faculty of Artificial Intelligence
15,AI315,Computational Cognitive Science,4,2025-2026 Spring,Faculty of Artificial Intelligence
16,BIO422,Computational Gene Finding and Genome Assembly,112,2025-2026 Spring,Faculty of Artificial Intelligence
17,AI323,Computational Neuroscience,439,2025-2026 Spring,Faculty of Artificial Intelligence
18,CSC223,Computer Architecture,712,2025-2026 Spring,Faculty of Artificial Intelligence
19,CSC222,Computer Graphics and Vision,371,2025-2026 Spring,Faculty of Artificial Intelligence
20,CSC312,Computer Security and Cryptography,72,2025-2026 Spring,Faculty of Artificial Intelligence
21,GEN402,Creativity and Critical Thinking,0,2025-2026 Spring,Faculty of Artificial Intelligence
22,SECE47,Cyber Intelligence,198,2025-2026 Spring,Faculty of Artificial Intelligence
23,SEC422,Cyber Security Risk Management,125,2025-2026 Spring,Faculty of Artificial Intelligence
24,AI414,Cyber-Physical Systems,2,2025-2026 Spring,Faculty of Artificial Intelligence
25,AI421,Data Center Virtualization,136,2025-2026 Spring,Faculty of Artificial Intelligence
26,CSC125,Database Management Systems,1436,2025-2026 Spring,Faculty of Artificial Intelligence
27,AI424,Deep Learning,242,2025-2026 Spring,Faculty of Artificial Intelligence
28,SEC424,Digital Forensics,123,2025-2026 Spring,Faculty of Artificial Intelligence
29,BAS126,Discrete Structures,1084,2025-2026 Spring,Faculty of Artificial Intelligence
30,AI422,Embedded and Real Time Operating Systems,127,2025-2026 Spring,Faculty of Artificial Intelligence
31,AI326,Embedded Systems and Automation,446,2025-2026 Spring,Faculty of Artificial Intelligence
32,GEN002,English Language I,185,2025-2026 Spring,Faculty of Artificial Intelligence
33,GEN101,English Language II,869,2025-2026 Spring,Faculty of Artificial Intelligence
34,SECE32,Ethical Hacking,119,2025-2026 Spring,Faculty of Artificial Intelligence
35,AI415,Graduation Project in AI (I),1,2025-2026 Spring,Faculty of Artificial Intelligence
36,AI425,Graduation Project in AI (II),139,2025-2026 Spring,Faculty of Artificial Intelligence
37,BIO425,Graduation Project in Bioinformatics (II),122,2025-2026 Spring,Faculty of Artificial Intelligence
