row_no,faculty,room_name,room_code,capacity,room_type
1,كلية الذكاء الاصطناعي,Hall 8,434,120,Hall
2,كلية الذكاء الاصطناعي,Hall 7,430,120,Hall
3,كلية الذكاء الاصطناعي,Hall 6,314,120,Hall
4,كلية الذكاء الاصطناعي,Lab1,410,30,Lab
5,كلية الذكاء الاصطناعي,Lab2,411,32,Lab
6,كلية الذكاء الاصطناعي,Lab3,412,29,Lab
7,كلية الذكاء الاصطناعي,Lab4,414,36,Lab
8,كلية الذكاء الاصطناعي,Lab5,420,54,Lab
9,كلية الذكاء الاصطناعي,Lab6,421,55,Lab
10,كلية الذكاء الاصطناعي,Lab7,428,40,Lab
11,كلية الذكاء الاصطناعي,Lab8,306,34,Lab
12,كلية الذكاء الاصطناعي,Lab9,307,37,Lab
13,كلية الذكاء الاصطناعي,Tut. 311,311,56,Tutorial
14,كلية الذكاء الاصطناعي,Tut. 309,309,84,Tutorial
15,كلية الذكاء الاصطناعي,Tut. 302,302,42,Tutorial
16,كلية الذكاء الاصطناعي,Tut. 303,303,42,Tutorial
17,كلية الذكاء الاصطناعي,Tut. 304,304,25,Tutorial
18,كلية التمريض,Hall 5,308,120,Hall
19,كلية التمريض,Hall 4,213,120,Hall
20,كلية التمريض,Hall 3,217,120,Hall
21,كلية الطب البيطري,Hall 2,111,120,Hall
22,كلية الطب البيطري,Hall 1,107,120,Hall
